rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,IndivWgtx,bcsvictim,rubbcomm,vandcomm,poorhou,Total
147368010,A (Experiences of the police),Female,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Divorced,55-64,White,Degree or diploma,Urban,2,1.15,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137225090,A (Experiences of the police),Female,12 months but less than 2 years,Yes,No,Rent it,Single,25-34,White,O level/GCSE,Urban,,0.32,Victim of crime,Not very common,Not very common,Not very common,3
147560250,A (Experiences of the police),Male,20 years or longer,,Yes,Rent it,Married/Civil Partnered,55-64,White,None,Urban,2,0.5,Not a victim of crime,Not very common,Not very common,Not very common,3
147321260,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Divorced,65-74,White,None,Urban,5,0.48,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136192230,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,5,0.89,Victim of crime,Not at all common,Not at all common,Not at all common,0
136577010,A (Experiences of the police),Female,10 years but less than 20 years,,No,Rent it,Widowed,65-74,White,None,Urban,2,0.54,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
135638300,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Separate,35-44,White,O level/GCSE,Rural,4,0.28,Not a victim of crime,Fairly common,Not at all common,Not very common,3
136536220,B (Attitudes to the CJS),Female,12 months but less than 2 years,Yes,Yes,Buying it with the help of a mortgage or loan,Cohabiting,25-34,White,Degree or diploma,Rural,5,0.61,Not a victim of crime,Not at all common,Not at all common,Not very common,1
147376320,D (Online Security),Male,2 years but less than 3 years,,Yes,Rent it,Single,16-24,White,O level/GCSE,Urban,3,1.66,Not a victim of crime,Fairly common,Fairly common,Fairly common,6
136913020,B (Attitudes to the CJS),Male,12 months but less than 2 years,Yes,Yes,Buying it with the help of a mortgage or loan,Cohabiting,16-24,White,O level/GCSE,Urban,3,1.71,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136001140,B (Attitudes to the CJS),Male,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,O level/GCSE,Urban,2,2.99,Not a victim of crime,Fairly common,Not at all common,Not at all common,2
137126220,B (Attitudes to the CJS),Male,Less than 12 months,No,Yes,Rent it,Single,16-24,White,Degree or diploma,Urban,2,0.97,Not a victim of crime,Fairly common,Not very common,Not very common,4
136920310,C (Crime prevention and security),Male,10 years but less than 20 years,,No,Own it outright,Widowed,55-64,White,Degree or diploma,Urban,5,0.42,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147285100,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Divorced,55-64,White,O level/GCSE,Urban,5,0.52,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147370260,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,O level/GCSE,Urban,3,1.2,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136143250,A (Experiences of the police),Male,20 years or longer,,No,Rent it,Married/Civil Partnered,65-74,White,None,Urban,1,1.1,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
135533040,D (Online Security),Female,10 years but less than 20 years,,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,2,0.66,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136990140,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Urban,1,0.73,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147416280,D (Online Security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,O level/GCSE,Urban,1,1.28,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136474240,D (Online Security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,2,0.44,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136801170,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,5,0.89,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136386210,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,None,Urban,1,1.01,Not a victim of crime,Not very common,Not very common,Not very common,3
136545100,B (Attitudes to the CJS),Male,Less than 12 months,No,Yes,Rent it,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,,1.21,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147444130,A (Experiences of the police),Female,3 years but less than 5 years,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,Chinese or Other,Degree or diploma,Urban,5,1.39,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136568030,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,3,1.03,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136991050,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,2,1.22,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137174200,D (Online Security),Female,Less than 12 months,No,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,5,0.5,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147525270,C (Crime prevention and security),Female,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Rural,3,2.28,Victim of crime,Not very common,Not very common,Not very common,3
136403080,D (Online Security),Female,20 years or longer,,No,Rent it,Widowed,75+,White,Other,Urban,,0.63,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136391120,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Rural,4,0.65,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147383260,B (Attitudes to the CJS),Male,12 months but less than 2 years,Yes,No,Rent it,Cohabiting,25-34,White,Apprenticeship or A/AS level,Urban,2,4.57,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136619070,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,1,1.14,Victim of crime,Not at all common,Not at all common,Not at all common,0
136747160,D (Online Security),Male,20 years or longer,,Yes,Rent it,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,1,0.8,Not a victim of crime,Fairly common,Not very common,Not very common,4
136100290,A (Experiences of the police),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,2,0.86,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136825240,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,Asian or Asian British,Other,Urban,2,2.44,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136264090,A (Experiences of the police),Male,5 years but less than 10 years,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,65-74,White,None,Rural,,0.59,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136997260,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,2,1.79,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136770270,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,3,1.13,Victim of crime,Not very common,Not at all common,Not very common,2
136890270,C (Crime prevention and security),Female,10 years but less than 20 years,Yes,No,Rent it,Cohabiting,35-44,White,O level/GCSE,Urban,1,0.65,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147380040,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Single,35-44,Black or Black British,Apprenticeship or A/AS level,Urban,1,1.55,Victim of crime,Not very common,Not very common,Not very common,3
136850230,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,2,1.49,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136031040,D (Online Security),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,Other,Urban,5,0.73,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136477010,A (Experiences of the police),Female,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,3,1.01,Not a victim of crime,Not very common,Not at all common,Not at all common,1
147458080,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Married/Civil Partnered,65-74,White,None,Rural,5,0.92,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136259030,C (Crime prevention and security),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,Degree or diploma,Urban,2,0.33,Not a victim of crime,Not very common,Not very common,Not very common,3
137070040,D (Online Security),Male,2 years but less than 3 years,,No,Own it outright,Married/Civil Partnered,45-54,White,O level/GCSE,Rural,1,1.23,Not a victim of crime,Fairly common,Not very common,Fairly common,5
135596040,D (Online Security),Male,2 years but less than 3 years,,No,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,2,0.69,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136385090,A (Experiences of the police),Female,3 years but less than 5 years,,Yes,Rent it,Married/Civil Partnered,25-34,White,Degree or diploma,Urban,3,0.87,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136014200,D (Online Security),Female,20 years or longer,,No,Rent it,Separate,55-64,White,None,Urban,1,0.64,Not a victim of crime,Very common,Very common,Very common,9
137047010,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,3,1,Not a victim of crime,Not very common,Not at all common,Not very common,2
135471170,A (Experiences of the police),Female,3 years but less than 5 years,Yes,Yes,Rent it,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,5,0.68,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137107080,D (Online Security),Female,10 years but less than 20 years,,No,Rent it,Married/Civil Partnered,35-44,Asian or Asian British,O level/GCSE,Urban,2,1.26,Not a victim of crime,Not very common,Not very common,Not very common,3
136446120,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,3,1.03,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136631010,A (Experiences of the police),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,5,1.31,Not a victim of crime,Not very common,Not very common,Not very common,3
136572060,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,3,1.24,Not a victim of crime,Not at all common,Not at all common,Not very common,1
136933040,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,None,Urban,3,1.53,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137157160,D (Online Security),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,Degree or diploma,Urban,3,0.64,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136673160,D (Online Security),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Rural,,0.55,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147502040,D (Online Security),Female,3 years but less than 5 years,,No,Own it outright,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,,0.58,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
135260210,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Degree or diploma,Urban,4,0.52,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136694030,C (Crime prevention and security),Male,Less than 12 months,No,Yes,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,2,0.85,Not a victim of crime,Fairly common,Fairly common,Fairly common,6
136622010,A (Experiences of the police),Female,20 years or longer,No,Yes,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,2,0.72,Not a victim of crime,Fairly common,Not very common,Fairly common,5
136762200,D (Online Security),Female,Less than 12 months,No,Yes,Rent it,Single,35-44,White,Degree or diploma,Urban,3,0.33,Victim of crime,Not very common,Not very common,Not very common,3
136260220,B (Attitudes to the CJS),Male,3 years but less than 5 years,,Yes,Rent it,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,3,0.96,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136432170,A (Experiences of the police),Male,20 years or longer,,No,Buying it with the help of a mortgage or loan,Cohabiting,65-74,White,Apprenticeship or A/AS level,Urban,1,1.18,Not a victim of crime,Not very common,Not at all common,Not very common,2
136573120,D (Online Security),Female,20 years or longer,Yes,No,Rent it,Single,25-34,White,O level/GCSE,Urban,2,0.67,Not a victim of crime,Fairly common,Not at all common,Not at all common,2
147587230,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Single,55-64,White,O level/GCSE,Urban,4,0.61,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137117340,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Single,16-24,White,Degree or diploma,Urban,5,2.38,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136674020,B (Attitudes to the CJS),Male,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Cohabiting,25-34,White,Apprenticeship or A/AS level,Rural,,0.7,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136819130,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Separate,45-54,White,Degree or diploma,Rural,,0.49,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136603010,A (Experiences of the police),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,None,Urban,1,0.5,Not a victim of crime,Not very common,Not very common,Not very common,3
147249260,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,3,1.08,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136341010,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,Degree or diploma,Urban,3,0.42,Not a victim of crime,Not very common,Not at all common,Not very common,2
137033100,B (Attitudes to the CJS),Male,20 years or longer,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,Apprenticeship or A/AS level,Urban,2,1.88,Victim of crime,Not very common,Not at all common,Not at all common,1
136871120,D (Online Security),Male,20 years or longer,,No,Own it outright,Widowed,75+,White,Apprenticeship or A/AS level,Urban,2,0.42,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136394100,B (Attitudes to the CJS),Female,3 years but less than 5 years,,No,Rent it,Separate,45-54,White,None,Urban,2,0.52,Victim of crime,Not at all common,Not at all common,Not at all common,0
135397160,D (Online Security),Male,10 years but less than 20 years,,No,Rent it,Divorced,45-54,White,Apprenticeship or A/AS level,Urban,1,0.64,Victim of crime,Fairly common,Fairly common,Very common,7
135512290,A (Experiences of the police),Male,2 years but less than 3 years,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,Black or Black British,Degree or diploma,Urban,3,1.16,Not a victim of crime,Not very common,Not at all common,Not at all common,1
136931080,D (Online Security),Male,Less than 12 months,No,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,55-64,White,Apprenticeship or A/AS level,Rural,5,0.37,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137107160,D (Online Security),Female,10 years but less than 20 years,,Yes,Rent it,Single,45-54,White,Apprenticeship or A/AS level,Urban,1,1.77,Not a victim of crime,Not very common,Not very common,Not very common,3
137067180,B (Attitudes to the CJS),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Rural,3,0.39,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136847020,B (Attitudes to the CJS),Male,20 years or longer,Yes,Yes,Buying it with the help of a mortgage or loan,Single,25-34,White,Apprenticeship or A/AS level,Urban,2,2.11,Victim of crime,Not very common,Not very common,Not very common,3
136915160,D (Online Security),Female,2 years but less than 3 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Rural,4,1.67,Not a victim of crime,Not very common,Not very common,Not very common,3
136090080,D (Online Security),Female,20 years or longer,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,25-34,White,Degree or diploma,Rural,5,2.28,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136078290,A (Experiences of the police),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,1.16,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137124030,C (Crime prevention and security),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,4,1.15,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
136590300,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,5,1.17,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
137147240,D (Online Security),Female,3 years but less than 5 years,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,Degree or diploma,Rural,3,0.99,Not a victim of crime,Not at all common,Not at all common,Not at all common,0
147343010,A (Experiences of the police),Male,5 years but less than 10 years,,Yes,Rent it,Single,25-34,White,O level/GCSE,Urban,1,0.65,Not a victim of crime,Fairly common,Not very common,Not very common,4
