rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,wdeprivex,IndivWgtx,cause2m,walkdark,walkday,homealon,wburgl,wmugged,wcarstol,wfromcar,wraped,wattack,wraceatt,worryx,bcsvictim,rubbcomm,vandcomm,poorhou,antisocx
137000320,D (Online Security),Female,10 years but less than 20 years,,No,Rent it,Divorced,55-64,White,O level/GCSE,Urban,1,,0.66,D. Lack of discipline from parents,Very unsafe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Fairly common,Not very common,
136994150,C (Crime prevention and security),Male,10 years but less than 20 years,,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,1,,0.82,,,,,Not very worried,Fairly worried,,,Not at all worried,Not very worried,Not at all worried,-0.21,Not a victim of crime,Not very common,Not very common,Not very common,
136088080,D (Online Security),Female,Less than 12 months,No,Yes,Rent it,Divorced,55-64,White,Other,Urban,2,,0.55,B. Poverty,A bit unsafe,Fairly safe,A bit unsafe,,,,,,,,,Victim of crime,Not very common,Not at all common,Not at all common,
147272190,C (Crime prevention and security),Male,20 years or longer,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Cohabiting,65-74,White,None,Rural,4,,1.19,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.51,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137087210,A (Experiences of the police),Female,20 years or longer,Yes,No,Rent it,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,,4,0.48,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.22
136608020,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Own it outright,Widowed,75+,White,Other,Rural,4,,0.62,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136040300,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,2,,1.14,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136578220,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Married/Civil Partnered,25-34,Asian or Asian British,Degree or diploma,Urban,3,,3.26,,,,,,,Not at all worried,Not very worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136726270,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Rent it,Single,45-54,White,Degree or diploma,Urban,2,,0.64,,,,,Fairly worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,0.01,Victim of crime,Fairly common,Not very common,Very common,
136442170,A (Experiences of the police),Male,20 years or longer,,Yes,Rent it,Divorced,45-54,White,None,Urban,2,,0.64,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.24
136697180,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Rent it,Single,55-64,White,O level/GCSE,Urban,2,,1.17,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
147439050,A (Experiences of the police),Female,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Widowed,65-74,Chinese or Other,Degree or diploma,Urban,2,,0.59,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,0.19
136087150,C (Crime prevention and security),Female,5 years but less than 10 years,,No,Own it outright,Single,45-54,White,Degree or diploma,Rural,4,,0.53,,,,,Not very worried,Not very worried,,,Not very worried,Fairly worried,Not at all worried,0.06,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136274030,C (Crime prevention and security),Male,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Other,Urban,1,,1.3,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04,Not a victim of crime,Not very common,Not very common,Not very common,
137122140,B (Attitudes to the CJS),Male,3 years but less than 5 years,,No,Rent it,Cohabiting,25-34,White,O level/GCSE,Urban,1,,1.4,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
147288160,D (Online Security),Male,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,Apprenticeship or A/AS level,Urban,1,,1.46,E. Drugs,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147342110,C (Crime prevention and security),Male,Less than 12 months,No,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,Asian or Asian British,Apprenticeship or A/AS level,Urban,5,,2.05,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not very worried,-0.23,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147500130,A (Experiences of the police),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,,5,0.77,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,-1.22
136895250,A (Experiences of the police),Male,12 months but less than 2 years,Yes,No,Rent it,Single,45-54,White,None,Urban,1,,0.66,,,,,,,,,,,,,Victim of crime,Fairly common,Not very common,Not very common,
136203160,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,4,,0.92,G. Unemployment,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136236100,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Rent it,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,1,,0.97,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
135304150,C (Crime prevention and security),Male,20 years or longer,,No,Rent it,Widowed,75+,White,None,Urban,1,,0.99,,,,,Not very worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.13,Not a victim of crime,Not very common,Not at all common,Not very common,
147368010,A (Experiences of the police),Female,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Divorced,55-64,White,Degree or diploma,Urban,2,,1.15,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.06
137225090,A (Experiences of the police),Female,12 months but less than 2 years,Yes,No,Rent it,Single,25-34,White,O level/GCSE,Urban,,2,0.32,,,,,,,,,,,,,Victim of crime,Not very common,Not very common,Not very common,0.01
147560250,A (Experiences of the police),Male,20 years or longer,,Yes,Rent it,Married/Civil Partnered,55-64,White,None,Urban,2,,0.5,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,-1.22
147321260,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Buying it with the help of a mortgage or loan,Divorced,65-74,White,None,Urban,5,,0.48,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136192230,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,5,,0.89,,,,,Not very worried,Not very worried,,,Not very worried,Not at all worried,Not at all worried,-0.56,Victim of crime,Not at all common,Not at all common,Not at all common,
136577010,A (Experiences of the police),Female,10 years but less than 20 years,,No,Rent it,Widowed,65-74,White,None,Urban,2,,0.54,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.22
135638300,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Separate,35-44,White,O level/GCSE,Rural,4,,0.28,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Fairly common,Not at all common,Not very common,
136536220,B (Attitudes to the CJS),Female,12 months but less than 2 years,Yes,Yes,Buying it with the help of a mortgage or loan,Cohabiting,25-34,White,Degree or diploma,Rural,5,,0.61,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,
147376320,D (Online Security),Male,2 years but less than 3 years,,Yes,Rent it,Single,16-24,White,O level/GCSE,Urban,3,,1.66,G. Unemployment,Fairly safe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Fairly common,Fairly common,
136913020,B (Attitudes to the CJS),Male,12 months but less than 2 years,Yes,Yes,Buying it with the help of a mortgage or loan,Cohabiting,16-24,White,O level/GCSE,Urban,3,,1.71,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136001140,B (Attitudes to the CJS),Male,20 years or longer,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,O level/GCSE,Urban,2,,2.99,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Fairly common,Not at all common,Not at all common,
137126220,B (Attitudes to the CJS),Male,Less than 12 months,No,Yes,Rent it,Single,16-24,White,Degree or diploma,Urban,2,,0.97,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
136920310,C (Crime prevention and security),Male,10 years but less than 20 years,,No,Own it outright,Widowed,55-64,White,Degree or diploma,Urban,5,,0.42,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.25,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147285100,B (Attitudes to the CJS),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Divorced,55-64,White,O level/GCSE,Urban,5,,0.52,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147370260,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,O level/GCSE,Urban,3,,1.2,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136143250,A (Experiences of the police),Male,20 years or longer,,No,Rent it,Married/Civil Partnered,65-74,White,None,Urban,1,,1.1,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.26
135533040,D (Online Security),Female,10 years but less than 20 years,,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,2,,0.66,J. The economy in general,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136990140,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Urban,1,,0.73,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147416280,D (Online Security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,O level/GCSE,Urban,1,,1.28,A. Too lenient sentencing,A bit unsafe,A bit unsafe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136474240,D (Online Security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,2,,0.44,D. Lack of discipline from parents,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136801170,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,5,,0.89,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.95
136386210,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,None,Urban,1,,1.01,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.47
136545100,B (Attitudes to the CJS),Male,Less than 12 months,No,Yes,Rent it,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,,5,1.21,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147444130,A (Experiences of the police),Female,3 years but less than 5 years,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,Chinese or Other,Degree or diploma,Urban,5,,1.39,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.31
136568030,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,3,,1.03,,,,,Very worried,Very worried,,,Fairly worried,Fairly worried,Fairly worried,2.04,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136991050,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,2,,1.22,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.24
137174200,D (Online Security),Female,Less than 12 months,No,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,5,,0.5,E. Drugs,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147525270,C (Crime prevention and security),Female,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Apprenticeship or A/AS level,Rural,3,,2.28,,,,,Fairly worried,Fairly worried,,,Not very worried,Not very worried,Not at all worried,0.32,Victim of crime,Not very common,Not very common,Not very common,
136403080,D (Online Security),Female,20 years or longer,,No,Rent it,Widowed,75+,White,Other,Urban,,2,0.63,J. The economy in general,Fairly safe,Fairly safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136391120,D (Online Security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Rural,4,,0.65,D. Lack of discipline from parents,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147383260,B (Attitudes to the CJS),Male,12 months but less than 2 years,Yes,No,Rent it,Cohabiting,25-34,White,Apprenticeship or A/AS level,Urban,2,,4.57,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136619070,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,1,,1.14,,,,,Fairly worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,0.01,Victim of crime,Not at all common,Not at all common,Not at all common,
136747160,D (Online Security),Male,20 years or longer,,Yes,Rent it,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,1,,0.8,F. Alcohol,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
136100290,A (Experiences of the police),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,2,,0.86,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.29
136825240,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,Asian or Asian British,Other,Urban,2,,2.44,E. Drugs,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136264090,A (Experiences of the police),Male,5 years but less than 10 years,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,65-74,White,None,Rural,,2,0.59,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.22
136997260,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,2,,1.79,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136770270,C (Crime prevention and security),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,3,,1.13,,,,,Fairly worried,Fairly worried,,,Not at all worried,Fairly worried,Not very worried,0.65,Victim of crime,Not very common,Not at all common,Not very common,
136890270,C (Crime prevention and security),Female,10 years but less than 20 years,Yes,No,Rent it,Cohabiting,35-44,White,O level/GCSE,Urban,1,,0.65,,,,,Very worried,Very worried,,,Very worried,Very worried,Very worried,2.9,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147380040,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Single,35-44,Black or Black British,Apprenticeship or A/AS level,Urban,1,,1.55,E. Drugs,Very unsafe,A bit unsafe,Very unsafe,,,,,,,,,Victim of crime,Not very common,Not very common,Not very common,
136850230,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,75+,White,None,Urban,2,,1.49,,,,,Fairly worried,Fairly worried,,,Not very worried,Fairly worried,Not very worried,0.92,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136031040,D (Online Security),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,Other,Urban,5,,0.73,D. Lack of discipline from parents,Very unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136477010,A (Experiences of the police),Female,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,3,,1.01,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,0.31
147458080,D (Online Security),Female,5 years but less than 10 years,,No,Rent it,Married/Civil Partnered,65-74,White,None,Rural,5,,0.92,E. Drugs,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136259030,C (Crime prevention and security),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Divorced,45-54,White,Degree or diploma,Urban,2,,0.33,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.51,Not a victim of crime,Not very common,Not very common,Not very common,
137070040,D (Online Security),Male,2 years but less than 3 years,,No,Own it outright,Married/Civil Partnered,45-54,White,O level/GCSE,Rural,1,,1.23,D. Lack of discipline from parents,Very safe,A bit unsafe,Don't know,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Fairly common,
135596040,D (Online Security),Male,2 years but less than 3 years,,No,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,2,,0.69,B. Poverty,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136385090,A (Experiences of the police),Female,3 years but less than 5 years,,Yes,Rent it,Married/Civil Partnered,25-34,White,Degree or diploma,Urban,3,,0.87,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.04
136014200,D (Online Security),Female,20 years or longer,,No,Rent it,Separate,55-64,White,None,Urban,1,,0.64,E. Drugs,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Very common,Very common,Very common,
137047010,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Apprenticeship or A/AS level,Urban,3,,1,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,-1.22
135471170,A (Experiences of the police),Female,3 years but less than 5 years,Yes,Yes,Rent it,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,5,,0.68,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.22
137107080,D (Online Security),Female,10 years but less than 20 years,,No,Rent it,Married/Civil Partnered,35-44,Asian or Asian British,O level/GCSE,Urban,2,,1.26,F. Alcohol,Very unsafe,Very unsafe,Very unsafe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136446120,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,3,,1.03,Spontaneous: None of these,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136631010,A (Experiences of the police),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,5,,1.31,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,-1
136572060,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Urban,3,,1.24,,,,,,,Fairly worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,
136933040,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,None,Urban,3,,1.53,E. Drugs,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137157160,D (Online Security),Male,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,Degree or diploma,Urban,3,,0.64,B. Poverty,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136673160,D (Online Security),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Rural,,5,0.55,Spontaneous: None of these,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
